Path,FinalStockPrice,FinalHedgingError
141,94.4867,-0.435107
142,100.822,-1.50398
143,122.236,-0.260398
144,112.498,-0.395692
145,67.6619,0.0498201
146,102.939,1.14803
147,109.719,-0.0528069
148,92.9604,-0.369647
149,74.2189,0.110626
150,108.733,0.278038
151,113.46,-0.0134804
152,105.425,0.444865
153,95.4318,0.0419742
154,145.627,-0.281989
155,125.298,-0.305871
156,111.235,1.32133
157,116.95,0.333701
158,107.152,0.996759
159,141.726,-0.18265
160,86.79,-0.134518
161,72.9698,0.386895
162,120.541,0.510114
163,118.293,-0.0700798
164,107.315,-0.805332
165,97.8258,0.506963
166,83.9762,-0.0922339
167,91.8343,0.205201
168,137.192,-0.827792
169,94.6876,-0.957133
170,107.309,0.0322674
171,108.302,-0.25055
172,133.962,-0.172357
173,88.127,-0.755808
174,114.415,-0.0720051
175,113.921,0.236673
176,93.954,0.503289
177,85.1075,0.120199
178,113.018,-0.0837768
179,115.611,-0.904284
180,98.1229,0.247796
181,121.772,-0.357691
182,102.165,-0.918097
183,118.648,-0.371187
184,102.391,-0.39906
185,133.965,-0.342998
186,90.7141,-0.469137
187,108.332,-0.251966
188,103.692,0.881154
189,90.5125,-0.394048
190,103.919,1.04288
191,151.315,-0.72395
192,83.4138,0.23875
193,116.269,-0.462902
194,101.3,-0.198209
195,105.212,-0.487063
196,90.8571,-0.0791025
197,124.15,0.224154
198,97.0911,0.48511
199,128.501,-0.122741
200,84.4067,-0.426423
201,83.4323,-0.0667765
202,88.8962,0.0766403
203,118.715,-0.897618
204,102.544,0.11849
205,120.004,0.330883
206,107.609,-0.183921
207,128.936,0.712853
208,87.4031,-0.114277
209,86.0703,-0.466561
210,107.781,-1.48641
211,68.0565,0.0553128
212,76.0301,0.244417
213,99.0654,-0.258949
214,69.6322,0.457636
215,115.388,0.121633
216,93.0074,0.0269354
217,88.0651,0.285498
218,108.093,-0.465724
219,101.225,0.773286
220,89.6988,-0.110517
221,114.267,-0.0914486
222,112.046,0.621321
223,86.6364,-0.160698
224,87.8545,-1.25699
225,94.2605,-0.295664
226,117.277,0.356346
227,106.004,-0.444025
228,117.63,-0.393354
229,62.1778,-0.147797
230,80.5893,-0.335289
231,106.08,1.52352
232,109.887,-0.21288
233,90.8709,0.511505
234,102.409,0.265421
235,142.564,0.151198
236,93.4801,-0.156996
237,105.36,-0.575815
238,102.094,-0.105328
239,83.8849,0.00283964
240,101.523,-0.10246
241,137.501,0.181034
242,103.556,1.5225
243,103.012,-0.36544
244,68.4058,0.00714895
245,117.688,0.531662
246,107.768,-0.379389
247,96.7084,0.449701
248,92.1555,0.548191
249,87.9688,0.535779
250,87.9529,0.440481
251,106.198,-0.0880154
252,142.551,-0.186426
253,129.86,-0.0443721
254,91.1978,-0.750811
255,102.355,-1.4532
256,84.5899,0.0235404
257,93.3065,-0.42736
258,99.3369,0.216643
259,115.615,0.160999
260,96.4956,0.0430355
261,97.8789,-0.212033
262,122.593,-0.206399
263,99.1688,0.885883
264,81.5467,0.173334
265,89.2817,0.0572853
266,103.166,-0.687352
267,121.063,0.36214
268,99.7127,-0.280392
269,92.3737,-0.431272
270,117.862,-0.799814
271,77.1119,0.24204
272,101.992,-0.0606245
273,99.073,0.01852
274,86.1671,0.281213
275,132.643,0.164339
276,92.7428,0.327416
277,108.555,0.0139841
278,104.958,-0.382802
279,103.55,-0.0197074
280,102.198,0.706009
281,86.4558,-0.165215
282,80.1041,0.493736
283,108.539,-0.413151
284,83.7179,0.192752
285,84.5499,-0.00905593
286,126.779,0.400567
